name,rating,year,url
A Taiwanese Tale of Two Cities, 6.9,2018,https://asyafanatiklerim.com/dizi/a-taiwanese-tale-of-two-cities/
Bloody Romance, 8.6,2018,https://asyafanatiklerim.com/dizi/bloody-romance-tr/
Your Imagination Becomes Reality, 8.1,2018,https://asyafanatiklerim.com/dizi/your-imagination-becomes-reality/
A Teen, 8.9,2018,https://asyafanatiklerim.com/dizi/a-teen/
Taste of Cat, 7.5,2018,https://asyafanatiklerim.com/dizi/taste-of-cat/
Wish Woosh, 7.1,2018,https://asyafanatiklerim.com/dizi/wish-woosh/
Legend of Fu Yao, 8,2018,https://asyafanatiklerim.com/dizi/legend-of-fu-yao/
My Girl, 7.1,2018,https://asyafanatiklerim.com/dizi/my-girl/
Kareshi wo Ron de Kaimashita, 7,2018,https://asyafanatiklerim.com/dizi/kareshi-wo-ron-de-kaimashita/
Love and Fortune, 6.6,2018,https://asyafanatiklerim.com/dizi/love-and-fortune/
Switched, 7.5,2018,https://asyafanatiklerim.com/dizi/switched/
Youngju, 7.4,2018,https://asyafanatiklerim.com/film/youngju/
The Witch Part 1. The Subversion, 9.3,2018,https://asyafanatiklerim.com/film/the-witch-part-1-the-subversion/
The Soul Mate, 8.4,2018,https://asyafanatiklerim.com/film/the-soul-mate/
The Drug King, 6.9,2018,https://asyafanatiklerim.com/film/the-drug-king/
Swing Kids, 9.3,2018,https://asyafanatiklerim.com/film/swing-kids/
Student A, 8.9,2018,https://asyafanatiklerim.com/film/student-a/
Intimate Strangers, 7.1,2018,https://asyafanatiklerim.com/film/intimate-strangers/
Ashes of Love, 8.1,2018,https://asyafanatiklerim.com/dizi/ashes-of-love/
Martial Universe, 8.4,2018,https://asyafanatiklerim.com/dizi/martial-universe/
The Three Musketeers, 7.5,2014,https://asyafanatiklerim.com/dizi/the-three-musketeers/
Longing for Spring, 8.4,2014,https://asyafanatiklerim.com/dizi/longing-for-spring/
Maids, 7.6,2014,https://asyafanatiklerim.com/dizi/maids-tr1/
Golden Cross, 7.1,2014,https://asyafanatiklerim.com/dizi/golden-cross/
Her Lovely Heels, 7.8,2014,https://asyafanatiklerim.com/dizi/her-lovely-heels/
Healer, 9.4,2014,https://asyafanatiklerim.com/dizi/healer/
A New Leaf, 7.5,2014,https://asyafanatiklerim.com/dizi/a-new-leaf/
Witch’s Romance, 7.7,2014,https://asyafanatiklerim.com/dizi/witchs-romance/
Alice no Toge, 6.2,2014,https://asyafanatiklerim.com/dizi/alice-no-toge/
Birth of a Beauty, 7.9,2014,https://asyafanatiklerim.com/dizi/birth-of-a-beauty/
Cheo Yong, 6.8,2014,https://asyafanatiklerim.com/dizi/cheo-yong/
Mimi, 6.7,2014,https://asyafanatiklerim.com/dizi/mimi/
My Lovely Girl, 7.9,2014,https://asyafanatiklerim.com/dizi/my-lovely-girl/
Surplus Princess, 8.1,2014,https://asyafanatiklerim.com/dizi/surplus-princess-tr/
Trot Lovers, 7.7,2014,https://asyafanatiklerim.com/dizi/trot-lovers/
The Night Watchman, 7.4,2014,https://asyafanatiklerim.com/dizi/the-night-watchman-tr/
Cunning Single Lady, 8.3,2014,https://asyafanatiklerim.com/dizi/cunning-single-lady/
Zankyou No Terror, 7.2,2014,https://asyafanatiklerim.com/dizi/zankyou-no-terror/
ZX ignition, 6.3,2014,https://asyafanatiklerim.com/dizi/zx-ignition/
Kiseijuu: Sei no Kakuritsu, 7.5,2014,https://asyafanatiklerim.com/dizi/kiseijuu-sei-no-kakuritsu/
Fashion King, 7.9,2012,https://asyafanatiklerim.com/dizi/fashion-king/
Dr. Jin, 8.1,2012,https://asyafanatiklerim.com/dizi/dr-jin/
Sarayın Doktoru, 8.2,2012,https://asyafanatiklerim.com/dizi/sarayin-doktoru/
Love Rain, 8.7,2012,https://asyafanatiklerim.com/dizi/love-rain/
Arang and the Magistrate, 8.7,2012,https://asyafanatiklerim.com/dizi/arang-and-the-magistrate/
The King 2 Hearts, 8.6,2012,https://asyafanatiklerim.com/dizi/the-king-2-hearts/
Ho-Goo’s Love, 7.3,2015,https://asyafanatiklerim.com/dizi/ho-goos-love/
Ex-Girlfriend Club, 7.6,2015,https://asyafanatiklerim.com/dizi/ex-girlfriend-club/
High End Crush, 8.7,2015,https://asyafanatiklerim.com/dizi/high-end-crush/
Last, 7.9,2015,https://asyafanatiklerim.com/dizi/last/
9 Seconds Eternal Time, 7.6,2015,https://asyafanatiklerim.com/dizi/9-seconds-eternal-time/
Romance Blue, 7.7,2015,https://asyafanatiklerim.com/dizi/romance-blue/
My Beautiful Bride, 6.3,2015,https://asyafanatiklerim.com/dizi/my-beautiful-bride/
The Time We Were Not In Love, 7.9,2015,https://asyafanatiklerim.com/dizi/the-time-we-were-not-in-love-tr/
The Moon Embracing the Sun, 9,2012,https://asyafanatiklerim.com/dizi/the-moon-embracing-the-sun/
"I Do, I Do", 7.2,2012,https://asyafanatiklerim.com/dizi/i-do-i-do/
Goodbye Dear Wife, 6.8,2012,https://asyafanatiklerim.com/dizi/goodbye-dear-wife/
Heartbeat Love, 6.2,2012,https://asyafanatiklerim.com/dizi/heartbeat-love/
Faith, 9,2012,https://asyafanatiklerim.com/dizi/faith/
To The Beautiful You, 8.5,2012,https://asyafanatiklerim.com/dizi/to-the-beautiful-you-tr/
The Thieves, 8.5,2012,https://asyafanatiklerim.com/film/the-thieves-tr/
Sweet Family, 6.4,2015,https://asyafanatiklerim.com/dizi/sweet-family/
Yong Pal, 8.5,2015,https://asyafanatiklerim.com/dizi/yong-pal-tr1/
The Village Achiara’s, 8.5,2015,https://asyafanatiklerim.com/dizi/the-village-achiaras/
Producer, 8.3,2015,https://asyafanatiklerim.com/dizi/producer/
Scholar Who Walks the Night, 8.8,2015,https://asyafanatiklerim.com/dizi/scholar-who-walks-the-night/
Triage X, 5.9,2015,https://asyafanatiklerim.com/dizi/triage-x/
Kantai Collection, 6.4,2015,https://asyafanatiklerim.com/dizi/kantai-collection/
Rokka no Yuusha, 6.2,2015,https://asyafanatiklerim.com/dizi/rokka-no-yuusha/
Gakkou Gurashi, 7.8,2015,https://asyafanatiklerim.com/dizi/gakkou-gurashi/
DanMachi, 6.6,2015,https://asyafanatiklerim.com/dizi/danmachi/
Okitegami Kyoko no Biboroku, 7.2,2015,https://asyafanatiklerim.com/dizi/okitegami-kyoko-no-biboroku/
Mrs. Cop, 7.2,2015,https://asyafanatiklerim.com/dizi/mrs-cop/
Who Are You, 8.2,2013,https://asyafanatiklerim.com/dizi/who-are-you-tr/
Good Doctor, 8.6,2013,https://asyafanatiklerim.com/dizi/good-doctor/
IRIS 2, 7.7,2013,https://asyafanatiklerim.com/dizi/iris-2/
All About My Romance, 7.7,2013,https://asyafanatiklerim.com/dizi/all-about-my-romance/
Queen of Ambition, 7,2013,https://asyafanatiklerim.com/dizi/queen-of-ambition/
Shark, 7.2,2013,https://asyafanatiklerim.com/dizi/shark/
Prime Minister and I, 7.8,2013,https://asyafanatiklerim.com/dizi/prime-minister-and-i/
The Queen of Office, 6.4,2013,https://asyafanatiklerim.com/dizi/the-queen-of-office/
Two Weeks, 8.5,2013,https://asyafanatiklerim.com/dizi/two-weeks-tr1/
I Hear Your Voice, 9,2013,https://asyafanatiklerim.com/dizi/i-hear-your-voice-tr1/
Golden Time, 7.2,2013,https://asyafanatiklerim.com/dizi/golden-time/
Strike the Blood, 7,2013,https://asyafanatiklerim.com/dizi/strike-the-blood/
Love Live! School Idol Project, 6.9,2013,https://asyafanatiklerim.com/dizi/love-live-school-idol-project/
Kotoura-san, 6.5,2013,https://asyafanatiklerim.com/dizi/kotoura-san/
Gin no Saji, 6.8,2013,https://asyafanatiklerim.com/dizi/gin-no-saji/
Hataraku Maou, 7.2,2013,https://asyafanatiklerim.com/dizi/hataraku-maou/
Cuticle Detective Inaba, 6.4,2013,https://asyafanatiklerim.com/dizi/cuticle-detective-inaba/
Coppelion, 6.8,2013,https://asyafanatiklerim.com/dizi/coppelion/
Blood Lad, 6.6,2013,https://asyafanatiklerim.com/dizi/blood-lad/
Fantasista Doll, 6.1,2013,https://asyafanatiklerim.com/dizi/fantasista-doll/
Lie to Me, 8.3,2011,https://asyafanatiklerim.com/dizi/lie-to-me/
Heartstrings, 9.1,2011,https://asyafanatiklerim.com/dizi/heartstrings-tr1/
City Hunter, 9.4,2011,https://asyafanatiklerim.com/dizi/city-hunter/
The Greatest Love, 8.3,2011,https://asyafanatiklerim.com/dizi/the-greatest-love-tr1/
Me Too Flower, 8,2011,https://asyafanatiklerim.com/dizi/me-too-flower/
The Princess Man, 8.4,2011,https://asyafanatiklerim.com/dizi/the-princess-man/
Tree With Deep Roots, 8.1,2011,https://asyafanatiklerim.com/dizi/tree-with-deep-roots/
Dream High, 8.4,2011,https://asyafanatiklerim.com/dizi/dream-high/
Hayate the Combat Butler, 6.2,2011,https://asyafanatiklerim.com/dizi/hayate-the-combat-butler/
Office Girls, 7.2,2011,https://asyafanatiklerim.com/dizi/office-girls/
Designated Survivor: 60 Days, 8.8,2019,https://asyafanatiklerim.com/dizi/designated-survivor-60-days/
Chief of Staff, 7.7,2019,https://asyafanatiklerim.com/dizi/chief-of-staff/
Trans-Siberian Pathfinders, 7,2019,https://asyafanatiklerim.com/dizi/trans-siberian-pathfinders/
Emperors and Me, 7.8,2019,https://asyafanatiklerim.com/dizi/emperors-and-me/
Love In Your Taste, 8.1,2019,https://asyafanatiklerim.com/dizi/love-in-your-taste/
The Night of the Comet, 8,2019,https://asyafanatiklerim.com/dizi/night-of-the-comet/
Like, 8.5,2019,https://asyafanatiklerim.com/dizi/like/
Two Hearts, 7.8,2019,https://asyafanatiklerim.com/dizi/two-hearts-tr/
A Little Thing Called First Love, 8.7,2019,https://asyafanatiklerim.com/dizi/a-little-thing-called-first-love-tr/
Onzoshi Boys, 8,2019,https://asyafanatiklerim.com/dizi/onzoshi-boys/
Love Is Drop By Drop, 8.1,2016,https://asyafanatiklerim.com/dizi/love-is-drop-by-drop/
Fox in the Screen, 8,2016,https://asyafanatiklerim.com/dizi/fox-in-the-screen/
I See You The Series, 7.1,2016,https://asyafanatiklerim.com/dizi/i-see-you-the-series/
Thumping Spike 2, 8.2,2016,https://asyafanatiklerim.com/dizi/thumping-spike-2/
Hapishanedeki Çiçek, 7.9,2016,https://asyafanatiklerim.com/dizi/hapishanedeki-cicek/
My Runway, 8.4,2016,https://asyafanatiklerim.com/dizi/my-runway/
Dear My Friends, 7.2,2016,https://asyafanatiklerim.com/dizi/dear-my-friends/
Modern People, 7.4,2011,https://asyafanatiklerim.com/dizi/modern-people/
Drunken to Love You, 6.2,2011,https://asyafanatiklerim.com/dizi/drunken-to-love-you/
An Evil Game a Love Game, 7,2011,https://asyafanatiklerim.com/dizi/an-evil-game-a-love-game/
49 Days, 8.4,2011,https://asyafanatiklerim.com/dizi/49-days/
Jiu Keishichou Tokushuhan Sousakei, 6.8,2011,https://asyafanatiklerim.com/dizi/jiu-keishichou-tokushuhan-sousakei/
Asuko March, 8.1,2011,https://asyafanatiklerim.com/dizi/asuko-march/
Different Dreams, 8.4,2019,https://asyafanatiklerim.com/dizi/different-dreams-nw/
The World Owes Me a First Love, 8.7,2019,https://asyafanatiklerim.com/dizi/the-world-owes-me-a-first-love/
Golden Garden, 7.1,2019,https://asyafanatiklerim.com/dizi/golden-garden/
Black Dog, 7.8,2019,https://asyafanatiklerim.com/dizi/black-dog/
Diary of a Prosecutor, 7.5,2019,https://asyafanatiklerim.com/dizi/diary-of-a-prosecutor-v5/
Queen: Love And War, 8.5,2019,https://asyafanatiklerim.com/dizi/queen-love-and-war-v1/
Crash Landing on You, 9.5,2019,https://asyafanatiklerim.com/dizi/crash-landing-on-you/
Stove League, 8.7,2019,https://asyafanatiklerim.com/dizi/stove-league-nw/
Gogh the Starry Night, 8.8,2016,https://asyafanatiklerim.com/dizi/gogh-the-starry-night/
Gasohug, 6.5,2016,https://asyafanatiklerim.com/dizi/gasohug/
Hundred, 6.7,2016,https://asyafanatiklerim.com/dizi/hundred/
New Game, 7.2,2016,https://asyafanatiklerim.com/dizi/new-game/
Shuumatsu no Izetta, 6.3,2016,https://asyafanatiklerim.com/dizi/shuumatsu-no-izetta/
Soul Buster, 5.8,2016,https://asyafanatiklerim.com/dizi/soul-buster/
Joker Game, 6.3,2016,https://asyafanatiklerim.com/dizi/joker-game/
High School Fleet, 7,2016,https://asyafanatiklerim.com/dizi/high-school-fleet/
Bungou Stray Dogs, 8,2016,https://asyafanatiklerim.com/dizi/bungou-stray-dogs/
Boku dake ga Inai Machi, 8,2016,https://asyafanatiklerim.com/dizi/boku-dake-ga-inai-machi/
The Sand Princess, 7.7,2019,https://asyafanatiklerim.com/dizi/the-sand-princess/
Woman of 9.9 Billion, 7.2,2019,https://asyafanatiklerim.com/dizi/woman-of-9-9-billion-nw1/
Drifters, 7,2016,https://asyafanatiklerim.com/dizi/drifters/
91 Days, 7.6,2016,https://asyafanatiklerim.com/dizi/91-days/
Moon Lovers: Scarlet Heart Ryeo, 9.6,2016,https://asyafanatiklerim.com/dizi/moon-lovers-scarlet-heart-ryeo-tr1/
Cheer Up 2022, 8.8,2022,https://asyafanatiklerim.com/dizi/cheer-up-2022/
Confession 2022, 8.5,2022,https://asyafanatiklerim.com/film/confession-2022/
Big Bet, 7.7,2022,https://asyafanatiklerim.com/dizi/big-bet/
Dirty Laundry, 6.6,2022,https://asyafanatiklerim.com/dizi/dirty-laundry/
